,Pre-COVID,COVID/Recovery,Post-COVID
ridership_lag12,63427.73957777356,21010.83615111466,45595.043928178115
unemployment_rate_lag1,6204.848170436861,21947.658805024115,-6054.024857964182
avg_temp,-5260.26767633002,-1177.916093505612,450.5146398308879
total_snow_cm,-3925.3414522844223,-12845.54963646693,-26077.326940056362
total_precip_mm,-3303.76283222411,22770.212490272508,-16088.941078765276
gas_price_lag1,2117.372991075174,162875.57351670653,8216.475115348505
ridership_lag1,1032.012585844413,126956.11066099667,-6984.9338789622925
