date,year,month,ridership
2023-10-01,2023,10,1343000
2023-11-01,2023,11,1331000
2023-12-01,2023,12,1220000
2024-01-01,2024,1,1224000
2024-02-01,2024,2,1237000
2024-03-01,2024,3,1320000
2024-04-01,2024,4,1279000
2024-05-01,2024,5,1333000
2024-06-01,2024,6,1324000
2024-07-01,2024,7,1267000
2024-08-01,2024,8,1258000
2024-09-01,2024,9,1408000
2024-10-01,2024,10,1389000
2024-11-01,2024,11,1397000
2024-12-01,2024,12,1061000
2025-01-01,2025,1,1250000
2025-02-01,2025,2,1169000
2025-03-01,2025,3,1385000
2025-04-01,2025,4,1299000
2025-05-01,2025,5,1308000
2025-06-01,2025,6,1289000
2025-07-01,2025,7,1276000
2025-08-01,2025,8,1250000
2025-09-01,2025,9,1375000
2025-10-01,2025,10,1357000
2025-11-01,2025,11,1359000
2025-12-01,2025,12,1220000
